,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
44,NB2,E,-82.21237089694878,170.42474179389757,174.726703407353,1794.3658084639974,90.26590858712672,0.9912659565965428,0.9930097249843486
48,NB2,"E, C",-80.34708790607712,168.69417581215424,174.43012463009484,1958.5434060757093,81.07916503092832,0.9910372151238559,0.9935289371410894
25,DW2,F,-83.55361167355332,173.10722334710664,177.40918496056207,2301.1610312874723,18.552729210803907,0.9896909484753256,0.9926363829661468
29,DW2,"F, C",-83.3600570938672,174.7201141877344,180.456063005675,2286.4098068920716,154.15761588095762,0.989520354577794,0.9926902599870909
27,DW2,"E, F",-83.55128392149052,175.10256784298105,180.83851666092164,2301.4022058178616,218.7989259311322,0.9894385863849334,0.9926370309092066
30,DW2,"E, F, C",-83.32461941877173,176.64923883754346,183.8191748599692,2279.095597620573,490.8730496208927,0.9892945168791335,0.9927001242660267
26,DW2,C,-89.07438700128327,184.14877400256654,188.45073561602197,2208.9834854896462,68.46604933684395,0.9886394030297916,0.9910996436730638
23,DW2,None,-92.57072948299114,189.14145896598228,192.00943337495258,2031.4856191789763,10.438587425940467,0.9885227841011615,0.9901264168064084
24,DW2,E,-91.17481424674102,188.34962849348204,192.65159010693748,2138.6820844094345,99.51299090696926,0.988327184005521,0.9905149777722176
28,DW2,"E, C",-88.98539879028809,185.97079758057617,191.70674639851677,2246.4878653251417,7.7352255634428895,0.9883142387854942,0.9911244140490237
7,IFR SB,"E, F, C",-899.2816245126265,1808.563249025253,1815.7331850476787,50646.650965255656,90.39609001955975,0.679302789568996,0.7655738391415899
6,IFR SB,"E, C",-968.244692909663,1944.489385819326,1950.2253346372665,50442.14999547788,11.448089346631633,0.6640584441781596,0.7463775758115143
4,IFR SB,C,-970.3045745112719,1946.6091490225438,1950.9111106359992,50466.22776193945,7.716596085966768,0.6637726010890287,0.7458041960218332
5,IFR SB,"E, F",-1062.6862032663867,2133.3724065327733,2139.1083553507137,55191.54124886175,26.42046504184522,0.630295557588543,0.7200892428785844
3,IFR SB,F,-1210.6341197217528,2427.2682394435055,2431.570201056961,55241.32393499729,110.42226946477413,0.5960844889829346,0.6789070967034405
2,IFR SB,E,-1248.362719528504,2502.725439057008,2507.0274006704635,58099.166599425575,77.57114092889915,0.5802014743059102,0.6684051258109076
1,IFR SB,None,-3649.625278581252,7303.250557162504,7306.118531571475,67368.10108797839,108.89322557895332,0.0,0.0
