,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
32,DW3,F,-57.09962860281749,122.19925720563498,127.93520602357556,528.0457018475142,69.00000000000074,1.0,1.0
37,GM,F,-59.66172245742845,125.3234449148569,129.62540652831234,759.6549462658442,210.9003124834944,0.9990801088574329,0.9992868265659769
10,IFRGSB,F,-59.15500268868138,126.31000537736276,132.04595419530335,756.4595442443934,68.99986667325629,0.9989533870961455,0.9994278749030293
41,GM,"F, C",-59.65305630992239,127.30611261984478,133.04206143778538,745.9384418344108,105.93660631374708,0.9988640216100112,0.9992892388375514
39,GM,"E, F",-59.660966746031164,127.32193349206233,133.05788231000292,755.1557556874203,591.1948888220988,0.9988392020613395,0.9992870369225536
17,S,F,-59.66162478968997,127.32324957937993,133.05919839732053,759.169901317469,205.52101920149542,0.9988290399955766,0.9992868537523489
53,TL,F,-59.661722457428624,127.32344491485725,133.05939373279784,759.6549462658915,147.80914525951107,0.9988278078597957,0.9992868265659769
11,IFRGSB,"E, F",-59.147404807319816,128.29480961463963,135.46474563706536,740.791326527309,68.99999940571391,0.9987419185263089,0.9994299898166309
13,IFRGSB,"F, C",-59.15131738529928,128.30263477059856,135.4725707930243,745.5942188018527,68.99999918865905,0.9987290343201726,0.9994289007282401
42,GM,"E, F, C",-59.65299738170992,129.30599476341985,136.47593078584558,744.9429277885567,68.99999770445089,0.9986142166188179,0.9992892552405553
21,S,"F, C",-59.65296184640246,129.30592369280492,136.47585971523065,745.4627723759396,68.99999901485157,0.9986129286265215,0.9992892651320109
57,TL,"F, C",-59.65305630992228,129.30611261984455,136.47604864227029,745.9384418344032,99.51040443506315,0.9986117206123742,0.9992892388375514
19,S,"E, F",-59.66087840127895,129.3217568025579,136.49169282498363,754.7218256547216,73.45337140431674,0.9985880035797868,0.9992870615138191
55,TL,"E, F",-59.66096674603645,129.3219334920729,136.49186951449863,755.1557572358219,80.05789057698328,0.99858690105984,0.999287036922552
22,S,"E, F, C",-59.65290542202476,131.30581084404952,139.90973407096038,744.4948377789962,68.99999959705204,0.9983630542844155,0.9992892808380581
14,IFRGSB,"E, F, C",-67.01264557315304,146.02529114630607,154.62921437321694,605.3169732443533,92.28238274084536,0.9970018745759528,0.9988439376516006
35,GM,None,-74.9817147963133,153.9634295926266,156.8314040015969,917.0677319250057,102.77655047388885,0.9953840742297472,0.9950224193406656
36,GM,E,-72.70005321327798,151.40010642655596,155.7020680400114,1114.3283083727163,16.021015042563807,0.9951694828069305,0.9956575328528123
51,TL,None,-74.98171479631347,155.96342959262694,160.26539120608237,917.0677319250764,1320.0086790228986,0.9951317732321094,0.9950224193406655
8,IFRGSB,None,-74.98081964059432,155.96163928118864,160.26360089464407,917.7559157027636,62.367286284146196,0.9951302650044968,0.9950226685123642
31,DW3,E,-72.08773971923225,152.1754794384645,157.9114282564051,1087.9488826141708,37.07076233484548,0.9951250794295897,0.9958279738054189
15,S,None,-74.93313304148754,155.86626608297507,160.1682276964305,928.4217223603265,87.9032532380169,0.9951147378865041,0.9950359423491445
52,TL,E,-72.69717594367128,153.39435188734257,159.13030070528316,1110.3902872086012,98.40826262606417,0.9949276691477819,0.9956583337572141
9,IFRGSB,E,-72.6728995889533,153.3457991779066,159.0817479958472,1114.2591647925728,68.99999675952361,0.9949236566722717,0.9956650912189787
16,S,E,-72.66713256234473,153.33426512468947,159.07021394263006,1123.851596809769,81.24104669615909,0.9949010763484794,0.9956666965037199
38,GM,C,-71.94596362226517,149.89192724453034,154.19388885798577,1336.1971831655533,6.315537110394514,0.9947912763527837,0.9958674379904465
54,TL,C,-71.58737895172445,151.1747579034489,156.9107067213895,1288.2001804946608,7.56668945320139,0.9947418853640423,0.9959672520782158
33,DW3,C,-71.82344847151953,151.64689694303905,157.38284576097965,1307.6525354369917,4.757958758638323,0.9946385880571155,0.9959015407812634
40,GM,"E, C",-71.23700012756805,150.4740002551361,156.2099490730767,1402.5759968437542,219.45184052708117,0.9945380117411976,0.9960647820218527
18,S,C,-71.89850088915088,151.79700177830176,157.53295059624236,1344.722766596625,32.08230542322866,0.9945287329553328,0.9958806495128512
34,DW3,"E, C",-70.97201629952698,151.94403259905397,159.1139686214797,1349.8648377768416,487.56989485794816,0.9944786504838846,0.9961385417813808
56,TL,"E, C",-71.00164871883848,152.00329743767696,159.1732334601027,1373.0288228390446,154.80688941565603,0.9944140129549977,0.9961302934284952
20,S,"E, C",-71.2040363764028,152.4080727528056,159.57800877523132,1409.7782644520214,563.2312662755066,0.9942754027862275,0.9960739576699558
12,IFRGSB,"E, C",-71.2386465043111,152.4772930086222,159.64722903104794,1598.325069020922,11.610762609284802,0.99379722540709,0.9960643237434982
45,NB2,F,-73.31282715242205,152.6256543048441,156.92761591829952,1732.7701550613651,811.2345708199206,0.9934851619125299,0.9954869637326872
47,NB2,"E, F",-73.2758100820345,154.551620164069,160.2875689820096,1705.8393288275383,47.32136838221285,0.9933086051216382,0.9954972676453084
49,NB2,"F, C",-73.27630187605897,154.55260375211793,160.28855257005853,1750.857705509141,87.74677904996244,0.993196236986427,0.9954971307516376
50,NB2,"E, F, C",-73.20436720941038,156.40873441882076,163.5786704412465,1714.7551914891667,71.78282762994999,0.9930506544325198,0.9955171541762854
43,NB2,None,-83.71412711055191,171.42825422110383,174.29622863007413,1599.4963565014386,13.139880505288426,0.9916556045153333,0.9925917025789657
46,NB2,C,-80.46046559821022,166.92093119642044,171.22289280987587,1905.0087165906975,568.5488492494878,0.9913966902973432,0.9934973778139808
